ra,dec,psfMag_r,psfMag_g
0.0508350433777878,0.240582000457426,19.02147,19.72431
0.0509649878256653,0.488022889023704,24.70186,24.87277
0.0511710517758388,0.450692830671662,21.76413,23.05528
0.0517077237577723,0.403292293380285,15.04745,15.48647
0.051726515042219,0.215310073368656,24.07108,23.88725
0.128039595906614,0.212897203719817,21.2371,22.45519
0.128316204145392,0.439038767950561,20.92011,22.37015
0.128664177825385,0.408948497890758,25.24926,24.94556
0.128846112914999,0.480537672957618,14.81028,15.22191
0.129016886325445,0.495527776255361,24.64105,25.45471
0.129189689089742,0.223708521506667,24.79268,24.12619
0.129307112442916,0.243155373684689,21.41082,21.72935
0.129317791450148,0.277023446254895,22.41514,24.1467
0.129549122042192,0.474485267411702,21.48462,22.71587
0.130002286132342,0.154723576673818,16.00189,17.00318
0.130610508472138,0.0825531336958507,22.94058,24.48554
0.206450685833772,0.465520005937753,15.89272,15.39528
0.206689684164871,0.249557987709336,23.11563,24.27666
0.206796534143848,0.333718070889955,24.00159,24.0853
0.206955478061161,0.223152195874957,22.98759,24.65553
0.207104064996855,0.0909789801852456,22.07552,23.3371
0.207506928041649,0.0674249381045485,19.99722,21.49246
0.207715358096973,0.129025412964684,21.48134,22.39627
0.207717062840578,0.0825536121420312,22.61334,24.87819
0.208216960679417,0.0930411948370348,22.3503,22.81648
0.281373986479128,0.198192892512624,21.8962,23.20321
0.281441187408944,0.453341890240483,22.02407,22.18962
0.281465195986698,0.316075658614025,21.13447,22.14766
0.281717082966026,0.464879114610939,14.74486,15.39971
0.282035701322281,0.169619804002447,20.41119,21.78831
0.282166914783396,0.0921638292430732,23.12567,24.59711
0.282929867672555,0.0185419997056578,21.15742,22.78086
0.283048311577501,0.0500025551875383,21.40053,22.37286
0.283267360614161,0.387332292770753,22.76769,23.77982
0.360282369903359,0.258162826592491,23.1819,24.82542
0.360464001114735,0.307031539112494,23.52532,23.00604
0.360593653857105,0.00106758141818404,21.40229,22.74091
0.360616859986123,0.455786323331319,15.96904,16.39219
0.360636905848992,0.366795688155642,21.90239,23.39535
0.36074818817052,0.0299533318008566,24.59742,23.53711
0.36095144882831,0.0904209511038854,23.44794,23.58878
0.361071730086937,0.00522364455447503,21.18324,21.48507
0.361151234775036,0.362756283878303,22.71867,23.04344
0.361573233141712,0.469486261188878,23.39574,24.62703
0.36219216834678,0.423276945201533,23.20586,23.36429
0.362350041779822,0.185280704452594,21.01889,22.35883
0.432569614087809,0.0210791775758972,24.57935,23.5008
0.432876431524249,0.428326843811481,22.72823,23.25088
0.433661245181526,0.495497348882677,24.32647,24.72968
0.434706862667781,0.284679035405473,22.43382,23.80424
0.0445531479566625,0.408907679435463,24.13183,25.05932
0.0446288293323409,0.0883868489914537,17.0884,18.44534
0.0446721926605846,0.301363426008004,22.0928,24.04885
0.0448195214028146,0.362901882695692,23.41176,24.56472
0.0450082677767796,0.365767670428505,23.25594,24.34923
0.045057532727526,0.236263825247243,21.72888,23.09487
0.0450800754068954,0.0314634108402733,17.8392,18.3788
0.0453289177491101,0.127588236779991,17.3221,17.89055
0.0455577588947449,0.213575609376592,17.22475,18.14948
0.0456551794993985,0.163685587022694,22.7743,24.4389
0.0459084367487321,0.299340599079665,18.35444,18.94765
0.0459230049820434,0.158669993148622,22.62126,22.87725
0.0459861152665617,0.18385580087926,25.10216,25.31938
0.0462377794440769,0.133915737796386,23.56853,23.42351
0.0463064420569879,0.450954494657882,22.18485,23.06628
0.0465302001666377,0.0647348087586216,21.14377,22.61611
0.0466054529678104,0.2937862639211,22.90858,24.6416
0.0466278852479718,0.204857376387185,19.88136,21.2869
0.125655409855487,0.197691777987649,24.79303,25.76565
0.126060625105083,0.324192837827739,15.02948,15.51355
0.126095334981017,0.429660727783981,20.0586,20.84844
0.12625599667922,0.303832236728044,23.00541,23.0691
0.126747343447281,0.11204991659744,23.11212,24.18147
0.126761824070911,0.224054179925528,24.22057,24.22814
0.126831754134487,0.206529748972868,22.80708,24.20183
0.127016549553332,0.424379312308444,23.35592,25.11359
0.127094369428113,0.0126987957350602,24.93024,23.44802
0.127416279280414,0.15716700816972,17.25779,18.51445
0.127424822829369,0.272383612906834,19.47141,19.78398
0.127445066223117,0.223565708167802,24.53117,23.17101
0.127594492932872,0.410716197998225,22.95657,23.88528
0.201008018757538,0.0539124637640384,22.87483,24.69285
0.201423908841548,0.295075322119886,22.80266,23.80824
0.202352964986858,0.455670358458349,22.99802,25.15941
0.202743288800264,0.293906789380302,22.78994,24.68465
0.279396021519631,0.344123806411461,23.06058,25.73233
